list size,duration time,minimum,maximum
1,2.6226043701171875e-06,-735629,-735629
10001,0.0024116039276123047,-999737,999987
20001,0.004900932312011719,-999943,999987
30001,0.006498098373413086,-999943,999987
40001,0.009031057357788086,-999943,999987
50001,0.012256383895874023,-999943,999987
60001,0.012928485870361328,-999943,999987
70001,0.014921188354492188,-999943,999987
80001,0.018168210983276367,-999943,999987
90001,0.024892330169677734,-999943,999987
100001,0.024708986282348633,-999943,999987
110001,0.025304317474365234,-999943,999987
120001,0.026282787322998047,-999989,999987
130001,0.02682948112487793,-999989,999987
140001,0.029842615127563477,-999989,999987
150001,0.033232688903808594,-999989,999987
160001,0.036585092544555664,-999989,999987
170001,0.039925336837768555,-999989,999987
180001,0.04321098327636719,-999989,999987
190001,0.046529293060302734,-999989,999987
200001,0.0490264892578125,-999989,999987
210001,0.05000638961791992,-999989,999987
220001,0.05077838897705078,-999989,999987
230001,0.05155158042907715,-999989,999987
240001,0.0522761344909668,-999989,999987
250001,0.052500009536743164,-999989,999987
260001,0.05310392379760742,-999989,999987
270001,0.05653047561645508,-999989,999987
280001,0.05952906608581543,-999989,999987
290001,0.06271815299987793,-999989,999987
300001,0.0679633617401123,-999989,999987
310001,0.0761559009552002,-999989,999988
320001,0.07334589958190918,-999989,999988
330001,0.07708883285522461,-999989,999988
340001,0.0800015926361084,-999989,999988
350001,0.0833275318145752,-999989,999988
360001,0.08660769462585449,-999989,999988
370001,0.09037995338439941,-999989,999988
380001,0.09264349937438965,-999989,999988
390001,0.09647321701049805,-999989,999988
400001,0.09842324256896973,-999989,999988
410001,0.10255813598632812,-999989,999996
420001,0.10030245780944824,-999989,999996
430001,0.10541749000549316,-999989,999996
440001,0.10202217102050781,-999989,999996
450001,0.10152649879455566,-999989,999996
460001,0.1041259765625,-999989,999996
470001,0.10393047332763672,-999989,999996
480001,0.1044003963470459,-999989,999996
490001,0.10513782501220703,-999989,999996
500001,0.10654258728027344,-999989,999996
510001,0.10588407516479492,-999989,999996
520001,0.1072382926940918,-999989,999996
530001,0.10965108871459961,-999989,999996
540001,0.11217832565307617,-999989,999996
550001,0.11708378791809082,-999989,999996
560001,0.11969637870788574,-999989,999996
570001,0.12223172187805176,-999989,999996
580001,0.12657380104064941,-999989,999996
590001,0.12984776496887207,-999989,999996
600001,0.13330602645874023,-999989,999996
610001,0.13541173934936523,-999989,999996
620001,0.13997817039489746,-999989,999996
630001,0.14310431480407715,-999989,999996
640001,0.1456143856048584,-999989,999996
650001,0.14964580535888672,-999989,999996
660001,0.15369129180908203,-999989,999996
670001,0.15519261360168457,-999989,999996
680001,0.15962481498718262,-999989,999996
690001,0.16319036483764648,-999989,999996
700001,0.16480016708374023,-999994,999996
710001,0.1683793067932129,-999994,999996
720001,0.17410039901733398,-999994,999996
730001,0.17490601539611816,-999994,999996
740001,0.18003082275390625,-999994,999996
750001,0.18423867225646973,-999994,999996
760001,0.18675708770751953,-999994,999996
770001,0.19061660766601562,-999994,999996
780001,0.19288396835327148,-999994,999996
790001,0.19516801834106445,-999994,999996
800001,0.19530653953552246,-999994,999996
810001,0.19707536697387695,-999994,999996
820001,0.1976311206817627,-999994,999996
830001,0.19824934005737305,-999994,999996
840001,0.20001697540283203,-999994,999996
850001,0.2002706527709961,-999994,999996
860001,0.1991584300994873,-999994,999996
870001,0.2017362117767334,-999994,999996
880001,0.20239472389221191,-999994,999996
890001,0.20255231857299805,-999997,999996
900001,0.2076869010925293,-999997,999996
910001,0.2052609920501709,-999997,999996
920001,0.2056875228881836,-999997,999996
930001,0.2066640853881836,-999997,999996
940001,0.20738506317138672,-999997,999996
950001,0.20807647705078125,-999997,999996
960001,0.2069711685180664,-999997,999996
970001,0.20952272415161133,-999997,999996
980001,0.2087569236755371,-999997,999996
990001,0.20892071723937988,-999997,999996
1000001,0.21094274520874023,-999997,999996
1100001,0.236008882522583,-999998,999998
1200001,0.26537060737609863,-999998,999998
1300001,0.2975578308105469,-999998,999998
1400001,0.33362364768981934,-999998,999998
1500001,0.36426353454589844,-999998,999998
1600001,0.3921091556549072,-999998,999998
1700001,0.39858078956604004,-999998,999998
1800001,0.40768980979919434,-999998,999998
1900001,0.4143674373626709,-999998,999998
2000001,0.421130895614624,-999998,999998
2100001,0.42708706855773926,-999998,999998
2200001,0.462024450302124,-999998,999998
2300001,0.4993712902069092,-999998,999998
2400001,0.5333480834960938,-999998,999998
2500001,0.5635509490966797,-999998,999998
2600001,0.5984089374542236,-999998,999998
2700001,0.6327800750732422,-999998,999998
2800001,0.6654515266418457,-999998,999998
2900001,0.6962602138519287,-999998,1000000
3000001,0.7317888736724854,-999998,1000000
3100001,0.7689146995544434,-999998,1000000
3200001,0.7851529121398926,-999998,1000000
3300001,0.7923834323883057,-999998,1000000
3400001,0.7998301982879639,-999998,1000000
3500001,0.8147633075714111,-999998,1000000
3600001,0.8155112266540527,-999998,1000000
3700001,0.8250060081481934,-999998,1000000
3800001,0.8296887874603271,-999998,1000000
3900001,0.832411527633667,-999998,1000000
4000001,0.8559420108795166,-1000000,1000000
4100001,0.8474233150482178,-1000000,1000000
4200001,0.8541629314422607,-1000000,1000000
4300001,0.8904926776885986,-1000000,1000000
4400001,0.9346184730529785,-1000000,1000000
4500001,0.9565553665161133,-1000000,1000000
4600001,0.985029935836792,-1000000,1000000
4700001,1.0199861526489258,-1000000,1000000
4800001,1.0589559078216553,-1000000,1000000
4900001,1.1078920364379883,-1000000,1000000
5000001,1.1481530666351318,-1000000,1000000
